Samples,DEPTH,VP,VS,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOfluid,PHI,LFC
785,2.30E+03,3.20E+03,1.53E+03,6.53E+01,2.82E-01,2.20E+00,1.00E+00,1.00E+00,2.09E+00,7.03E+03,3.35E+03,1.92E-01,2.68E+00,1.09E+00,3.03E-01,1.00E+00
786,2.23E+03,3.05E+03,1.46E+03,6.47E+01,3.16E-01,2.18E+00,9.05E-01,1.00E+00,2.09E+00,6.66E+03,3.18E+03,1.85E-01,2.68E+00,1.06E+00,3.07E-01,1.00E+00
787,2.11E+03,2.29E+03,8.82E+02,1.04E+02,4.48E-01,2.22E+00,1.00E+00,9.88E-01,2.60E+00,5.09E+03,1.96E+03,6.32E-01,2.75E+00,1.09E+00,3.20E-01,4.00E+00
788,2.23E+03,2.96E+03,1.20E+03,7.30E+01,2.98E-01,2.19E+00,1.00E+00,1.00E+00,2.48E+00,6.48E+03,2.62E+03,2.80E-01,2.69E+00,1.09E+00,3.16E-01,4.00E+00
789,2.30E+03,3.08E+03,1.45E+03,8.19E+01,3.23E-01,2.19E+00,1.00E+00,1.00E+00,2.12E+00,6.74E+03,3.17E+03,3.80E-01,2.71E+00,1.09E+00,3.23E-01,4.00E+00
790,2.13E+03,2.31E+03,8.50E+02,9.28E+01,4.69E-01,2.24E+00,1.00E+00,1.00E+00,2.71E+00,5.17E+03,1.91E+03,5.04E-01,2.73E+00,1.09E+00,2.98E-01,4.00E+00
791,2.12E+03,2.40E+03,1.04E+03,8.38E+01,3.67E-01,2.27E+00,1.00E+00,1.00E+00,2.32E+00,5.46E+03,2.35E+03,4.02E-01,2.71E+00,1.09E+00,2.72E-01,4.00E+00
792,2.27E+03,3.16E+03,1.53E+03,6.07E+01,2.97E-01,2.18E+00,1.00E+00,1.00E+00,2.06E+00,6.90E+03,3.34E+03,1.40E-01,2.67E+00,1.09E+00,3.09E-01,1.00E+00
793,2.16E+03,2.63E+03,1.40E+03,5.50E+01,3.19E-01,2.15E+00,6.66E-01,1.00E+00,1.88E+00,5.64E+03,3.01E+03,7.57E-02,2.66E+00,9.86E-01,3.08E-01,2.00E+00
794,2.31E+03,3.29E+03,1.64E+03,5.99E+01,2.87E-01,2.18E+00,1.00E+00,1.00E+00,2.01E+00,7.17E+03,3.57E+03,1.30E-01,2.67E+00,1.09E+00,3.11E-01,1.00E+00
795,2.27E+03,2.94E+03,1.27E+03,7.18E+01,3.09E-01,2.27E+00,1.00E+00,1.00E+00,2.32E+00,6.67E+03,2.87E+03,2.66E-01,2.69E+00,1.09E+00,2.66E-01,4.00E+00
796,2.37E+03,3.07E+03,1.50E+03,7.07E+01,2.97E-01,2.24E+00,1.00E+00,1.00E+00,2.05E+00,6.87E+03,3.35E+03,2.54E-01,2.69E+00,1.09E+00,2.81E-01,4.00E+00
797,2.32E+03,2.97E+03,1.49E+03,6.59E+01,2.96E-01,2.21E+00,1.00E+00,1.00E+00,1.99E+00,6.56E+03,3.29E+03,1.98E-01,2.68E+00,1.09E+00,2.98E-01,1.00E+00
798,2.34E+03,3.01E+03,1.14E+03,9.64E+01,3.48E-01,2.35E+00,1.00E+00,1.00E+00,2.63E+00,7.09E+03,2.69E+03,5.45E-01,2.74E+00,1.09E+00,2.33E-01,4.00E+00
799,2.30E+03,2.98E+03,1.34E+03,5.70E+01,3.13E-01,2.16E+00,1.00E+00,1.00E+00,2.21E+00,6.42E+03,2.90E+03,9.81E-02,2.67E+00,1.09E+00,3.22E-01,1.00E+00
800,2.10E+03,2.39E+03,1.01E+03,9.64E+01,4.46E-01,2.25E+00,1.00E+00,9.76E-01,2.37E+00,5.39E+03,2.27E+03,5.45E-01,2.74E+00,1.09E+00,2.93E-01,4.00E+00
801,2.17E+03,2.82E+03,1.42E+03,6.18E+01,3.30E-01,2.13E+00,2.13E-01,8.10E-01,1.98E+00,5.99E+03,3.02E+03,1.52E-01,2.67E+00,8.46E-01,3.00E-01,2.00E+00
802,2.21E+03,2.78E+03,1.10E+03,6.63E+01,3.23E-01,2.14E+00,1.00E+00,1.00E+00,2.52E+00,5.95E+03,2.36E+03,2.03E-01,2.68E+00,1.09E+00,3.39E-01,4.00E+00
803,2.14E+03,2.37E+03,1.02E+03,8.91E+01,4.33E-01,2.25E+00,1.00E+00,1.00E+00,2.32E+00,5.34E+03,2.30E+03,4.62E-01,2.72E+00,1.09E+00,2.90E-01,4.00E+00
804,2.23E+03,2.40E+03,8.65E+02,7.83E+01,3.98E-01,2.14E+00,9.62E-01,1.00E+00,2.77E+00,5.13E+03,1.85E+03,3.39E-01,2.70E+00,1.08E+00,3.46E-01,4.00E+00
805,2.16E+03,2.58E+03,1.19E+03,5.89E+01,3.41E-01,2.07E+00,5.59E-01,9.66E-01,2.16E+00,5.34E+03,2.47E+03,1.19E-01,2.67E+00,9.53E-01,3.49E-01,2.00E+00
806,2.24E+03,2.87E+03,1.42E+03,6.56E+01,3.20E-01,2.11E+00,9.86E-01,1.00E+00,2.03E+00,6.07E+03,3.00E+03,1.95E-01,2.68E+00,1.09E+00,3.56E-01,1.00E+00
807,2.24E+03,2.91E+03,1.25E+03,6.33E+01,3.27E-01,2.12E+00,9.53E-01,1.00E+00,2.33E+00,6.17E+03,2.65E+03,1.70E-01,2.68E+00,1.08E+00,3.49E-01,1.00E+00
808,2.36E+03,3.06E+03,1.46E+03,6.31E+01,2.89E-01,2.18E+00,1.00E+00,1.00E+00,2.10E+00,6.68E+03,3.18E+03,1.67E-01,2.68E+00,1.09E+00,3.12E-01,1.00E+00
809,2.28E+03,3.28E+03,1.61E+03,6.78E+01,2.78E-01,2.24E+00,1.00E+00,1.00E+00,2.03E+00,7.35E+03,3.62E+03,2.20E-01,2.69E+00,1.09E+00,2.79E-01,4.00E+00
810,2.17E+03,2.82E+03,1.54E+03,6.30E+01,3.08E-01,2.13E+00,2.34E-01,8.75E-01,1.83E+00,6.01E+03,3.28E+03,1.66E-01,2.68E+00,8.53E-01,3.01E-01,2.00E+00
811,2.29E+03,3.28E+03,1.64E+03,6.05E+01,2.39E-01,2.28E+00,1.00E+00,1.00E+00,2.00E+00,7.47E+03,3.74E+03,1.38E-01,2.67E+00,1.09E+00,2.49E-01,1.00E+00
812,2.28E+03,3.02E+03,1.51E+03,6.30E+01,2.98E-01,2.22E+00,1.00E+00,1.00E+00,2.00E+00,6.69E+03,3.35E+03,1.66E-01,2.68E+00,1.09E+00,2.90E-01,1.00E+00
813,2.25E+03,2.54E+03,1.02E+03,8.20E+01,4.13E-01,2.24E+00,1.00E+00,1.00E+00,2.50E+00,5.70E+03,2.28E+03,3.82E-01,2.71E+00,1.09E+00,2.89E-01,4.00E+00
814,2.18E+03,2.92E+03,1.52E+03,6.53E+01,2.87E-01,2.13E+00,2.02E-01,8.83E-01,1.92E+00,6.21E+03,3.23E+03,1.92E-01,2.68E+00,8.43E-01,3.00E-01,2.00E+00
815,2.21E+03,2.75E+03,1.07E+03,8.70E+01,3.95E-01,2.22E+00,9.94E-01,1.00E+00,2.56E+00,6.11E+03,2.38E+03,4.39E-01,2.72E+00,1.09E+00,3.07E-01,4.00E+00
816,2.38E+03,3.10E+03,1.47E+03,6.37E+01,3.02E-01,2.19E+00,1.00E+00,1.00E+00,2.11E+00,6.80E+03,3.23E+03,1.74E-01,2.68E+00,1.09E+00,3.05E-01,1.00E+00
817,2.23E+03,2.74E+03,1.34E+03,7.86E+01,3.40E-01,2.21E+00,1.00E+00,1.00E+00,2.04E+00,6.06E+03,2.97E+03,3.43E-01,2.70E+00,1.09E+00,3.06E-01,4.00E+00
818,2.21E+03,2.73E+03,1.10E+03,6.93E+01,3.13E-01,2.24E+00,9.51E-01,1.00E+00,2.49E+00,6.11E+03,2.45E+03,2.37E-01,2.69E+00,1.07E+00,2.79E-01,4.00E+00
819,2.18E+03,2.91E+03,1.46E+03,7.28E+01,3.43E-01,2.21E+00,5.69E-01,1.00E+00,1.99E+00,6.43E+03,3.24E+03,2.77E-01,2.69E+00,9.56E-01,2.76E-01,4.00E+00
820,2.28E+03,3.29E+03,1.65E+03,6.80E+01,2.65E-01,2.24E+00,1.00E+00,1.00E+00,1.99E+00,7.39E+03,3.71E+03,2.22E-01,2.69E+00,1.09E+00,2.77E-01,4.00E+00
821,2.21E+03,2.75E+03,1.11E+03,8.90E+01,4.61E-01,2.20E+00,9.03E-01,1.00E+00,2.46E+00,6.04E+03,2.45E+03,4.61E-01,2.72E+00,1.06E+00,3.15E-01,4.00E+00
822,2.38E+03,3.05E+03,1.39E+03,6.57E+01,3.03E-01,2.20E+00,1.00E+00,1.00E+00,2.19E+00,6.71E+03,3.06E+03,1.96E-01,2.68E+00,1.09E+00,3.01E-01,1.00E+00
823,2.31E+03,3.24E+03,1.67E+03,5.59E+01,2.86E-01,2.19E+00,1.00E+00,1.00E+00,1.94E+00,7.12E+03,3.67E+03,8.58E-02,2.66E+00,1.09E+00,2.98E-01,1.00E+00
824,2.27E+03,2.92E+03,1.38E+03,7.65E+01,3.06E-01,2.24E+00,1.00E+00,1.00E+00,2.12E+00,6.56E+03,3.10E+03,3.19E-01,2.70E+00,1.09E+00,2.83E-01,4.00E+00
825,2.26E+03,3.24E+03,1.47E+03,6.19E+01,3.17E-01,2.14E+00,1.00E+00,1.00E+00,2.21E+00,6.94E+03,3.14E+03,1.53E-01,2.67E+00,1.09E+00,3.36E-01,1.00E+00
826,2.16E+03,2.68E+03,1.31E+03,5.45E+01,3.13E-01,2.15E+00,6.76E-01,1.00E+00,2.05E+00,5.77E+03,2.82E+03,6.96E-02,2.66E+00,9.90E-01,3.03E-01,2.00E+00
827,2.20E+03,2.60E+03,1.01E+03,8.52E+01,4.45E-01,2.20E+00,9.44E-01,1.00E+00,2.57E+00,5.72E+03,2.22E+03,4.17E-01,2.72E+00,1.07E+00,3.16E-01,4.00E+00
828,2.40E+03,3.10E+03,1.52E+03,6.10E+01,2.96E-01,2.18E+00,1.00E+00,1.00E+00,2.04E+00,6.74E+03,3.30E+03,1.44E-01,2.67E+00,1.09E+00,3.14E-01,1.00E+00
829,2.15E+03,2.67E+03,1.24E+03,7.38E+01,3.33E-01,2.24E+00,8.36E-01,1.00E+00,2.16E+00,5.99E+03,2.77E+03,2.88E-01,2.70E+00,1.04E+00,2.75E-01,4.00E+00
830,2.25E+03,2.58E+03,1.04E+03,7.69E+01,3.85E-01,2.35E+00,1.00E+00,1.00E+00,2.48E+00,6.07E+03,2.45E+03,3.24E-01,2.70E+00,1.09E+00,2.18E-01,4.00E+00
831,2.22E+03,2.58E+03,1.05E+03,7.48E+01,3.68E-01,2.15E+00,9.42E-01,1.00E+00,2.45E+00,5.54E+03,2.26E+03,3.00E-01,2.70E+00,1.07E+00,3.36E-01,4.00E+00
832,2.21E+03,2.73E+03,9.63E+02,8.55E+01,3.32E-01,2.19E+00,9.50E-01,1.00E+00,2.83E+00,5.97E+03,2.11E+03,4.21E-01,2.72E+00,1.07E+00,3.21E-01,4.00E+00
833,2.26E+03,2.99E+03,1.18E+03,6.33E+01,3.09E-01,2.16E+00,1.00E+00,1.00E+00,2.54E+00,6.44E+03,2.54E+03,1.69E-01,2.68E+00,1.09E+00,3.28E-01,1.00E+00
834,2.25E+03,2.52E+03,1.02E+03,8.09E+01,3.77E-01,2.34E+00,1.00E+00,1.00E+00,2.48E+00,5.92E+03,2.39E+03,3.69E-01,2.71E+00,1.09E+00,2.25E-01,4.00E+00
835,2.39E+03,3.01E+03,1.35E+03,6.37E+01,3.05E-01,2.17E+00,1.00E+00,1.00E+00,2.23E+00,6.54E+03,2.93E+03,1.73E-01,2.68E+00,1.09E+00,3.18E-01,1.00E+00
836,2.32E+03,3.23E+03,1.56E+03,6.52E+01,2.98E-01,2.19E+00,1.00E+00,1.00E+00,2.07E+00,7.07E+03,3.41E+03,1.91E-01,2.68E+00,1.09E+00,3.10E-01,1.00E+00
837,2.33E+03,3.11E+03,1.61E+03,8.42E+01,3.12E-01,2.31E+00,9.97E-01,1.00E+00,1.94E+00,7.19E+03,3.71E+03,4.06E-01,2.72E+00,1.09E+00,2.50E-01,4.00E+00
838,2.32E+03,3.23E+03,1.58E+03,6.39E+01,2.91E-01,2.23E+00,1.00E+00,1.00E+00,2.05E+00,7.18E+03,3.51E+03,1.77E-01,2.68E+00,1.09E+00,2.85E-01,1.00E+00
839,2.35E+03,3.08E+03,1.42E+03,5.87E+01,2.97E-01,2.19E+00,1.00E+00,1.00E+00,2.17E+00,6.73E+03,3.10E+03,1.17E-01,2.67E+00,1.09E+00,3.05E-01,1.00E+00
840,2.36E+03,3.03E+03,1.55E+03,5.91E+01,3.00E-01,2.20E+00,1.00E+00,1.00E+00,1.95E+00,6.66E+03,3.41E+03,1.21E-01,2.67E+00,1.09E+00,2.98E-01,1.00E+00
841,2.23E+03,2.28E+03,8.33E+02,8.13E+01,3.73E-01,2.16E+00,9.78E-01,9.99E-01,2.73E+00,4.93E+03,1.80E+03,3.73E-01,2.71E+00,1.08E+00,3.36E-01,4.00E+00
842,2.11E+03,2.38E+03,9.39E+02,1.06E+02,4.37E-01,2.26E+00,1.00E+00,1.00E+00,2.53E+00,5.37E+03,2.12E+03,6.57E-01,2.76E+00,1.09E+00,2.99E-01,4.00E+00
843,2.28E+03,3.24E+03,1.63E+03,6.79E+01,2.87E-01,2.25E+00,1.00E+00,1.00E+00,1.99E+00,7.29E+03,3.67E+03,2.21E-01,2.69E+00,1.09E+00,2.73E-01,4.00E+00
844,2.22E+03,2.73E+03,1.24E+03,6.26E+01,3.33E-01,2.10E+00,9.75E-01,1.00E+00,2.19E+00,5.72E+03,2.61E+03,1.61E-01,2.68E+00,1.08E+00,3.62E-01,1.00E+00
845,2.29E+03,3.17E+03,1.52E+03,6.97E+01,3.10E-01,2.22E+00,9.91E-01,1.00E+00,2.09E+00,7.04E+03,3.37E+03,2.42E-01,2.69E+00,1.09E+00,2.91E-01,4.00E+00
846,2.20E+03,2.66E+03,9.69E+02,8.71E+01,4.52E-01,2.21E+00,9.56E-01,1.00E+00,2.75E+00,5.88E+03,2.14E+03,4.39E-01,2.72E+00,1.08E+00,3.11E-01,4.00E+00
847,2.33E+03,3.19E+03,1.64E+03,6.25E+01,2.85E-01,2.17E+00,7.07E-01,9.25E-01,1.94E+00,6.91E+03,3.56E+03,1.60E-01,2.68E+00,9.99E-01,3.03E-01,2.00E+00
848,2.11E+03,2.30E+03,9.12E+02,1.07E+02,4.38E-01,2.23E+00,1.00E+00,9.83E-01,2.53E+00,5.14E+03,2.03E+03,6.67E-01,2.76E+00,1.09E+00,3.17E-01,4.00E+00
849,2.12E+03,2.56E+03,1.18E+03,8.55E+01,3.82E-01,2.26E+00,1.00E+00,9.18E-01,2.16E+00,5.77E+03,2.67E+03,4.21E-01,2.72E+00,1.09E+00,2.84E-01,4.00E+00
850,2.27E+03,2.93E+03,1.38E+03,6.32E+01,2.72E-01,2.20E+00,1.00E+00,1.00E+00,2.13E+00,6.45E+03,3.03E+03,1.69E-01,2.68E+00,1.09E+00,2.99E-01,1.00E+00
851,2.24E+03,2.76E+03,1.31E+03,6.42E+01,3.31E-01,2.12E+00,1.00E+00,1.00E+00,2.11E+00,5.86E+03,2.78E+03,1.79E-01,2.68E+00,1.09E+00,3.50E-01,1.00E+00
852,2.35E+03,3.06E+03,1.38E+03,6.10E+01,2.73E-01,2.18E+00,1.00E+00,1.00E+00,2.23E+00,6.68E+03,3.00E+03,1.43E-01,2.67E+00,1.09E+00,3.11E-01,1.00E+00
853,2.23E+03,2.95E+03,1.29E+03,6.83E+01,3.42E-01,2.14E+00,9.62E-01,1.00E+00,2.29E+00,6.31E+03,2.76E+03,2.26E-01,2.69E+00,1.08E+00,3.42E-01,4.00E+00
854,2.29E+03,3.26E+03,1.58E+03,6.28E+01,2.77E-01,2.21E+00,1.00E+00,1.00E+00,2.07E+00,7.20E+03,3.48E+03,1.63E-01,2.68E+00,1.09E+00,2.95E-01,1.00E+00
855,2.18E+03,2.90E+03,1.51E+03,6.57E+01,3.08E-01,2.13E+00,2.08E-01,9.29E-01,1.92E+00,6.17E+03,3.21E+03,1.96E-01,2.68E+00,8.45E-01,3.00E-01,2.00E+00
856,2.37E+03,3.28E+03,1.49E+03,6.21E+01,3.18E-01,2.17E+00,1.00E+00,1.00E+00,2.20E+00,7.13E+03,3.24E+03,1.56E-01,2.67E+00,1.09E+00,3.17E-01,1.00E+00
857,2.15E+03,2.44E+03,9.83E+02,8.32E+01,4.09E-01,2.29E+00,1.00E+00,9.96E-01,2.48E+00,5.59E+03,2.25E+03,3.95E-01,2.71E+00,1.09E+00,2.61E-01,4.00E+00
858,2.16E+03,2.51E+03,1.08E+03,6.52E+01,3.95E-01,2.08E+00,5.45E-01,9.73E-01,2.34E+00,5.23E+03,2.24E+03,1.91E-01,2.68E+00,9.49E-01,3.46E-01,2.00E+00
859,2.26E+03,3.17E+03,1.47E+03,6.22E+01,3.10E-01,2.16E+00,1.00E+00,1.00E+00,2.16E+00,6.84E+03,3.17E+03,1.57E-01,2.68E+00,1.09E+00,3.25E-01,1.00E+00
860,2.24E+03,2.74E+03,1.11E+03,7.11E+01,3.89E-01,2.10E+00,1.00E+00,1.00E+00,2.48E+00,5.75E+03,2.32E+03,2.58E-01,2.69E+00,1.09E+00,3.71E-01,4.00E+00
861,2.23E+03,3.10E+03,1.50E+03,6.47E+01,3.21E-01,2.19E+00,9.57E-01,1.00E+00,2.07E+00,6.80E+03,3.29E+03,1.86E-01,2.68E+00,1.08E+00,3.05E-01,1.00E+00
862,2.38E+03,3.08E+03,1.42E+03,6.84E+01,2.99E-01,2.18E+00,1.00E+00,1.00E+00,2.17E+00,6.70E+03,3.09E+03,2.27E-01,2.69E+00,1.09E+00,3.19E-01,4.00E+00
863,2.17E+03,2.90E+03,1.41E+03,6.27E+01,3.24E-01,2.13E+00,2.37E-01,9.19E-01,2.06E+00,6.19E+03,3.01E+03,1.63E-01,2.68E+00,8.53E-01,2.97E-01,2.00E+00
864,2.35E+03,3.19E+03,1.40E+03,6.48E+01,2.75E-01,2.19E+00,9.95E-01,1.00E+00,2.28E+00,6.99E+03,3.06E+03,1.87E-01,2.68E+00,1.09E+00,3.09E-01,1.00E+00
865,2.32E+03,3.31E+03,1.69E+03,5.78E+01,2.75E-01,2.20E+00,1.00E+00,1.00E+00,1.96E+00,7.29E+03,3.72E+03,1.07E-01,2.67E+00,1.09E+00,2.95E-01,1.00E+00
866,2.38E+03,3.07E+03,1.44E+03,6.49E+01,2.72E-01,2.18E+00,1.00E+00,1.00E+00,2.13E+00,6.71E+03,3.15E+03,1.87E-01,2.68E+00,1.09E+00,3.12E-01,1.00E+00
867,2.20E+03,2.70E+03,1.20E+03,7.69E+01,3.30E-01,2.21E+00,9.95E-01,1.00E+00,2.26E+00,5.98E+03,2.64E+03,3.24E-01,2.70E+00,1.09E+00,3.03E-01,4.00E+00
868,2.13E+03,2.23E+03,8.54E+02,1.19E+02,4.68E-01,2.24E+00,1.00E+00,1.00E+00,2.62E+00,5.01E+03,1.91E+03,8.07E-01,2.78E+00,1.09E+00,3.18E-01,4.00E+00
869,2.28E+03,3.12E+03,1.47E+03,7.08E+01,3.10E-01,2.20E+00,1.00E+00,1.00E+00,2.13E+00,6.87E+03,3.23E+03,2.55E-01,2.69E+00,1.09E+00,3.06E-01,4.00E+00
870,2.11E+03,2.29E+03,9.21E+02,8.97E+01,4.10E-01,2.23E+00,1.00E+00,1.00E+00,2.49E+00,5.11E+03,2.05E+03,4.69E-01,2.72E+00,1.09E+00,3.04E-01,4.00E+00
871,2.21E+03,2.54E+03,1.03E+03,8.09E+01,3.47E-01,2.20E+00,9.80E-01,1.00E+00,2.48E+00,5.59E+03,2.26E+03,3.69E-01,2.71E+00,1.08E+00,3.13E-01,4.00E+00
872,2.11E+03,2.38E+03,9.81E+02,9.50E+01,4.15E-01,2.28E+00,1.00E+00,1.00E+00,2.43E+00,5.43E+03,2.24E+03,5.29E-01,2.73E+00,1.09E+00,2.76E-01,4.00E+00
873,2.39E+03,2.98E+03,1.32E+03,6.54E+01,3.12E-01,2.15E+00,1.00E+00,1.00E+00,2.25E+00,6.39E+03,2.84E+03,1.93E-01,2.68E+00,1.09E+00,3.35E-01,1.00E+00
874,2.28E+03,3.33E+03,1.65E+03,6.73E+01,2.63E-01,2.22E+00,1.00E+00,1.00E+00,2.02E+00,7.41E+03,3.67E+03,2.14E-01,2.68E+00,1.09E+00,2.89E-01,4.00E+00
875,2.23E+03,2.35E+03,9.43E+02,7.82E+01,3.40E-01,2.23E+00,1.00E+00,1.00E+00,2.49E+00,5.22E+03,2.10E+03,3.39E-01,2.70E+00,1.09E+00,2.95E-01,4.00E+00
876,2.30E+03,3.09E+03,1.44E+03,7.57E+01,3.14E-01,2.19E+00,1.00E+00,1.00E+00,2.15E+00,6.78E+03,3.16E+03,3.10E-01,2.70E+00,1.09E+00,3.14E-01,4.00E+00
877,2.27E+03,3.08E+03,1.51E+03,6.54E+01,2.92E-01,2.17E+00,1.00E+00,1.00E+00,2.03E+00,6.68E+03,3.29E+03,1.93E-01,2.68E+00,1.09E+00,3.20E-01,1.00E+00
878,2.28E+03,3.24E+03,1.52E+03,6.34E+01,2.79E-01,2.16E+00,1.00E+00,1.00E+00,2.14E+00,7.02E+03,3.29E+03,1.71E-01,2.68E+00,1.09E+00,3.24E-01,1.00E+00
879,2.30E+03,3.13E+03,1.62E+03,9.95E+01,3.42E-01,2.34E+00,1.00E+00,1.00E+00,1.94E+00,7.33E+03,3.78E+03,5.80E-01,2.74E+00,1.09E+00,2.43E-01,4.00E+00
880,2.39E+03,3.01E+03,1.35E+03,5.76E+01,3.02E-01,2.20E+00,1.00E+00,1.00E+00,2.24E+00,6.63E+03,2.96E+03,1.05E-01,2.67E+00,1.09E+00,2.97E-01,1.00E+00
881,2.18E+03,2.93E+03,1.54E+03,6.52E+01,2.98E-01,2.13E+00,2.04E-01,8.01E-01,1.91E+00,6.23E+03,3.26E+03,1.91E-01,2.68E+00,8.43E-01,3.02E-01,2.00E+00
882,2.15E+03,2.47E+03,9.46E+02,8.86E+01,4.52E-01,2.28E+00,1.00E+00,1.00E+00,2.62E+00,5.65E+03,2.16E+03,4.57E-01,2.72E+00,1.09E+00,2.69E-01,4.00E+00
883,2.28E+03,3.26E+03,1.67E+03,7.78E+01,2.87E-01,2.27E+00,1.00E+00,1.00E+00,1.95E+00,7.40E+03,3.79E+03,3.34E-01,2.70E+00,1.09E+00,2.70E-01,4.00E+00
884,2.10E+03,2.34E+03,9.61E+02,9.09E+01,4.32E-01,2.28E+00,1.00E+00,9.93E-01,2.44E+00,5.34E+03,2.19E+03,4.83E-01,2.73E+00,1.09E+00,2.74E-01,4.00E+00
885,2.29E+03,3.28E+03,1.61E+03,6.20E+01,2.56E-01,2.23E+00,1.00E+00,1.00E+00,2.03E+00,7.30E+03,3.59E+03,1.55E-01,2.67E+00,1.09E+00,2.83E-01,1.00E+00
886,2.38E+03,3.04E+03,1.58E+03,6.84E+01,2.88E-01,2.21E+00,1.00E+00,1.00E+00,1.93E+00,6.71E+03,3.48E+03,2.28E-01,2.69E+00,1.09E+00,3.01E-01,4.00E+00
887,2.37E+03,3.08E+03,1.43E+03,7.16E+01,2.81E-01,2.23E+00,1.00E+00,1.00E+00,2.16E+00,6.87E+03,3.19E+03,2.63E-01,2.69E+00,1.09E+00,2.89E-01,4.00E+00
888,2.24E+03,2.88E+03,1.41E+03,6.09E+01,3.38E-01,2.13E+00,1.00E+00,1.00E+00,2.04E+00,6.12E+03,3.00E+03,1.42E-01,2.67E+00,1.09E+00,3.46E-01,1.00E+00
889,2.13E+03,2.28E+03,8.89E+02,1.11E+02,4.35E-01,2.27E+00,1.00E+00,1.00E+00,2.57E+00,5.18E+03,2.02E+03,7.13E-01,2.76E+00,1.09E+00,2.97E-01,4.00E+00
890,2.31E+03,3.26E+03,1.64E+03,6.12E+01,2.80E-01,2.18E+00,1.00E+00,1.00E+00,1.98E+00,7.10E+03,3.58E+03,1.45E-01,2.67E+00,1.09E+00,3.12E-01,1.00E+00
891,2.28E+03,3.29E+03,1.63E+03,6.19E+01,2.88E-01,2.20E+00,1.00E+00,1.00E+00,2.01E+00,7.23E+03,3.59E+03,1.53E-01,2.67E+00,1.09E+00,2.99E-01,1.00E+00
892,2.29E+03,3.19E+03,1.54E+03,6.07E+01,2.85E-01,2.19E+00,1.00E+00,1.00E+00,2.08E+00,6.99E+03,3.37E+03,1.40E-01,2.67E+00,1.09E+00,3.07E-01,1.00E+00
893,2.32E+03,3.19E+03,1.61E+03,6.70E+01,2.79E-01,2.23E+00,1.00E+00,1.00E+00,1.99E+00,7.13E+03,3.59E+03,2.11E-01,2.68E+00,1.09E+00,2.82E-01,4.00E+00
894,2.24E+03,2.63E+03,1.02E+03,6.84E+01,3.12E-01,2.14E+00,9.14E-01,1.00E+00,2.58E+00,5.64E+03,2.18E+03,2.28E-01,2.69E+00,1.06E+00,3.36E-01,4.00E+00
895,2.17E+03,2.89E+03,1.50E+03,6.88E+01,2.93E-01,2.16E+00,3.77E-01,9.93E-01,1.92E+00,6.25E+03,3.25E+03,2.32E-01,2.69E+00,8.97E-01,2.94E-01,4.00E+00
896,2.25E+03,2.56E+03,1.03E+03,6.49E+01,3.23E-01,2.12E+00,9.33E-01,1.00E+00,2.48E+00,5.41E+03,2.18E+03,1.87E-01,2.68E+00,1.07E+00,3.50E-01,1.00E+00
897,2.27E+03,3.17E+03,1.59E+03,6.32E+01,2.77E-01,2.18E+00,1.00E+00,1.00E+00,1.99E+00,6.90E+03,3.46E+03,1.68E-01,2.68E+00,1.09E+00,3.16E-01,1.00E+00
898,2.26E+03,3.28E+03,1.31E+03,6.24E+01,3.31E-01,2.15E+00,1.00E+00,1.00E+00,2.50E+00,7.04E+03,2.81E+03,1.59E-01,2.68E+00,1.09E+00,3.34E-01,1.00E+00
899,2.19E+03,2.95E+03,1.23E+03,6.74E+01,3.46E-01,2.18E+00,9.59E-01,1.00E+00,2.41E+00,6.45E+03,2.68E+03,2.15E-01,2.68E+00,1.08E+00,3.11E-01,4.00E+00
900,2.21E+03,2.62E+03,1.07E+03,7.87E+01,3.16E-01,2.22E+00,9.94E-01,1.00E+00,2.45E+00,5.83E+03,2.38E+03,3.44E-01,2.71E+00,1.09E+00,2.99E-01,4.00E+00
901,2.20E+03,2.59E+03,1.09E+03,8.78E+01,3.44E-01,2.22E+00,9.48E-01,1.00E+00,2.37E+00,5.74E+03,2.42E+03,4.47E-01,2.72E+00,1.07E+00,3.07E-01,4.00E+00
902,2.14E+03,2.38E+03,9.11E+02,9.37E+01,4.26E-01,2.26E+00,1.00E+00,1.00E+00,2.62E+00,5.40E+03,2.06E+03,5.14E-01,2.73E+00,1.09E+00,2.86E-01,4.00E+00
903,2.21E+03,2.69E+03,1.03E+03,7.68E+01,3.43E-01,2.26E+00,9.60E-01,1.00E+00,2.62E+00,6.08E+03,2.32E+03,3.23E-01,2.70E+00,1.08E+00,2.73E-01,4.00E+00
904,2.40E+03,3.18E+03,1.55E+03,6.46E+01,2.98E-01,2.18E+00,1.00E+00,1.00E+00,2.05E+00,6.96E+03,3.39E+03,1.84E-01,2.68E+00,1.09E+00,3.11E-01,1.00E+00
905,2.34E+03,3.16E+03,1.52E+03,6.92E+01,2.83E-01,2.19E+00,1.00E+00,1.00E+00,2.07E+00,6.92E+03,3.34E+03,2.36E-01,2.69E+00,1.09E+00,3.09E-01,4.00E+00
906,2.28E+03,3.25E+03,1.39E+03,6.36E+01,2.78E-01,2.18E+00,1.00E+00,1.00E+00,2.34E+00,7.08E+03,3.03E+03,1.73E-01,2.68E+00,1.09E+00,3.15E-01,1.00E+00
