Samples,DEPTH,VP,VS,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOfluid,PHI,LFC
233,2.36E+03,3.05E+03,1.41E+03,6.18E+01,2.88E-01,2.18E+00,1.00E+00,1.00E+00,2.16E+00,6.64E+03,3.08E+03,1.53E-01,2.67E+00,1.09E+00,3.12E-01,1.00E+00
234,2.12E+03,2.44E+03,1.07E+03,1.15E+02,4.13E-01,2.28E+00,1.00E+00,1.00E+00,2.28E+00,5.56E+03,2.44E+03,7.59E-01,2.77E+00,1.09E+00,2.92E-01,4.00E+00
235,2.29E+03,3.06E+03,1.51E+03,9.13E+01,3.87E-01,2.33E+00,1.00E+00,1.00E+00,2.03E+00,7.12E+03,3.52E+03,4.87E-01,2.73E+00,1.09E+00,2.42E-01,4.00E+00
236,2.30E+03,3.22E+03,1.66E+03,5.94E+01,2.66E-01,2.19E+00,1.00E+00,1.00E+00,1.95E+00,7.06E+03,3.63E+03,1.25E-01,2.67E+00,1.09E+00,3.03E-01,1.00E+00
237,2.18E+03,2.85E+03,1.45E+03,7.99E+01,3.23E-01,2.21E+00,6.14E-01,9.92E-01,1.96E+00,6.30E+03,3.22E+03,3.58E-01,2.71E+00,9.70E-01,2.84E-01,4.00E+00
238,2.18E+03,2.89E+03,1.44E+03,6.66E+01,3.11E-01,2.12E+00,3.61E-01,8.78E-01,2.01E+00,6.13E+03,3.05E+03,2.07E-01,2.68E+00,8.92E-01,3.14E-01,4.00E+00
239,2.11E+03,2.39E+03,9.45E+02,1.02E+02,4.14E-01,2.28E+00,1.00E+00,1.00E+00,2.53E+00,5.46E+03,2.16E+03,6.11E-01,2.75E+00,1.09E+00,2.81E-01,4.00E+00
240,2.32E+03,3.30E+03,1.69E+03,5.91E+01,2.81E-01,2.20E+00,1.00E+00,1.00E+00,1.95E+00,7.25E+03,3.71E+03,1.22E-01,2.67E+00,1.09E+00,3.00E-01,1.00E+00
241,2.25E+03,2.50E+03,1.05E+03,8.50E+01,3.98E-01,2.25E+00,1.00E+00,1.00E+00,2.38E+00,5.62E+03,2.36E+03,4.15E-01,2.72E+00,1.09E+00,2.86E-01,4.00E+00
242,2.16E+03,2.45E+03,1.23E+03,5.96E+01,3.28E-01,2.12E+00,6.17E-01,9.84E-01,1.99E+00,5.19E+03,2.60E+03,1.27E-01,2.67E+00,9.71E-01,3.26E-01,2.00E+00
243,2.25E+03,2.97E+03,1.33E+03,6.06E+01,3.25E-01,2.12E+00,9.95E-01,1.00E+00,2.22E+00,6.28E+03,2.83E+03,1.39E-01,2.67E+00,1.09E+00,3.50E-01,1.00E+00
244,2.36E+03,3.08E+03,1.40E+03,5.61E+01,2.80E-01,2.21E+00,1.00E+00,1.00E+00,2.20E+00,6.79E+03,3.08E+03,8.79E-02,2.66E+00,1.09E+00,2.90E-01,1.00E+00
245,2.11E+03,2.39E+03,9.50E+02,1.01E+02,4.08E-01,2.29E+00,1.00E+00,1.00E+00,2.52E+00,5.47E+03,2.17E+03,5.94E-01,2.75E+00,1.09E+00,2.77E-01,4.00E+00
246,2.35E+03,2.97E+03,1.37E+03,9.20E+01,3.14E-01,2.21E+00,1.00E+00,1.00E+00,2.16E+00,6.56E+03,3.04E+03,4.95E-01,2.73E+00,1.09E+00,3.15E-01,4.00E+00
247,2.15E+03,2.39E+03,9.49E+02,8.65E+01,3.65E-01,2.26E+00,1.00E+00,1.00E+00,2.52E+00,5.40E+03,2.14E+03,4.33E-01,2.72E+00,1.09E+00,2.82E-01,4.00E+00
248,2.10E+03,2.36E+03,9.81E+02,9.69E+01,4.16E-01,2.28E+00,1.00E+00,9.91E-01,2.41E+00,5.37E+03,2.23E+03,5.50E-01,2.74E+00,1.09E+00,2.80E-01,4.00E+00
