DEPTH,VP,VS,GR,NPHI,RHO,SW,SWX,VPVS,IP,IS,VSH,RHOm,RHOfluid,PHI,LFC
2112.3127,2381.4,945.2,104.221,0.4191,2.269032,1.0,1.0,2.51946677952,5403.4728048,2144.6890464,0.63364762928,2.75138362068,1.09,0.290331272488,4.0
2112.4651,2393.6,945.2,102.2005,0.4138,2.2820235,1.0,1.0,2.53237410072,5462.2514496,2156.9686122,0.610724937914,2.74771599007,1.09,0.280924170881,4.0
2112.6177,2389.2,945.7,99.0883,0.4184,2.281416,1.0,1.0,2.52638257375,5450.7591072,2157.5351112,0.575416845824,2.74206669533,1.09,0.27883298939,4.0
2112.77,2384.9,948.2,98.9098,0.4183,2.2873,1.0,1.0,2.51518666948,5454.98177,2168.81786,0.573391752823,2.74174268045,1.09,0.275129223111,4.0
2112.9224,2393.8,950.4,100.7296,0.4083,2.286672,1.0,1.0,2.51872895623,5473.8354336,2173.2530688,0.594037490881,2.74504599854,1.09,0.276955443501,4.0
2113.0747,2398.7,983.2,104.5326,0.4175,2.2848915,1.0,1.0,2.43968673718,5480.76924105,2246.5053228,0.637182749611,2.75194923994,1.09,0.28103008727,4.0
2113.2273,2399.1,983.2,103.2014,0.4075,2.278819,1.0,1.0,2.44009357201,5467.1146629,2240.5348408,0.622080207297,2.74953283317,1.09,0.283642374384,4.0
2113.3796,2391.2,983.3,99.2629,0.4138,2.281398,1.0,1.0,2.43181124784,5455.2788976,2243.2986534,0.577397693096,2.7423836309,1.09,0.278982206236,4.0
2113.532,2385.5,981.4,96.0103,0.4103,2.28264,1.0,1.0,2.43071122886,5445.23772,2240.182896,0.540496754746,2.73647948076,1.09,0.275642354528,4.0
2113.6843,2396.5,979.2,93.8427,0.4194,2.283157,1.0,1.0,2.44740604575,5471.5857505,2235.6673344,0.515905205226,2.73254483284,1.09,0.273592430388,4.0
2113.8369,2380.5,981.2,94.972,0.4151,2.281262,1.0,1.0,2.42611088463,5430.544191,2238.3742744,0.528717180163,2.73459474883,1.09,0.275650125449,4.0
2113.9893,2397.9,974.3,99.4875,0.4105,2.281786,1.0,1.0,2.46115159602,5471.4946494,2223.1440998,0.579945793309,2.74279132693,1.09,0.278925306188,4.0
2114.1416,2418.3,974.3,101.9977,0.4054,2.284624,1.0,1.0,2.48208970543,5524.9062192,2225.9091632,0.608424159983,2.7473478656,1.09,0.279195379077,4.0
2114.2939,2411.4,974.4,105.7616,0.4034,2.2869085,1.0,1.0,2.47475369458,5514.6511569,2228.3636424,0.651125826913,2.75418013231,1.09,0.280781883665,4.0
2114.4463,2419.8,978.4,109.2088,0.3846,2.2828425,1.0,0.994256073539,2.47322158626,5524.0222815,2233.533102,0.690234513711,2.76043752219,1.09,0.285910137822,4.0
2114.5989,2424.3,991.2,114.7601,0.3776,2.2790275,1.0,0.985850393701,2.44582324455,5525.04636825,2258.972058,0.753214338793,2.77051429421,1.09,0.292462132516,4.0
2114.7512,2424.6,1005.1,116.3974,0.3807,2.277744,1.0,0.995922521339,2.41229728385,5522.6181024,2289.3604944,0.771789603615,2.77348633658,1.09,0.294473632371,4.0
2114.9036,2431.9,1006.8,111.6963,0.3888,2.27718,1.0,1.0,2.41547477155,5537.874042,2292.664824,0.71845534755,2.76495285561,1.09,0.291215871524,4.0
2115.0559,2424.6,994.6,106.9865,0.3923,2.284795,1.0,1.0,2.4377639252,5539.713957,2272.457107,0.665022389474,2.75640358232,1.09,0.283009822663,4.0
2115.2085,2425.3,1012.4,106.3188,0.39,2.29285,1.0,1.0,2.39559462663,5560.849105,2321.28134,0.657447293693,2.75519156699,1.09,0.277650677649,4.0
